episode,time_penalty,detection_reward,miss_penalty,overlap_penalty,coverage_reward,episode_bonus
330,-50.0,214.0,-50.0,-18.0,26.0,70.0
331,-50.0,180.0,-35.0,-4.0,33.0,70.0
332,-50.0,162.0,-35.0,-22.0,30.5,70.0
333,-50.0,62.0,-70.0,-41.0,24.0,20.0
334,-50.0,60.0,-70.0,-4.0,32.0,20.0
335,-50.0,156.0,-55.0,-3.0,25.5,70.0
336,-50.0,296.0,-70.0,-81.0,23.0,-30.0
337,-50.0,136.0,-50.0,-26.0,22.0,20.0
338,-50.0,60.0,-75.0,-23.0,30.0,20.0
339,-50.0,94.0,-155.0,0.0,19.5,-30.0
340,-50.0,206.0,-150.0,-56.0,32.5,20.0
341,-50.0,166.0,-35.0,0.0,19.5,20.0
342,-50.0,108.0,-105.0,0.0,21.5,70.0
343,-50.0,60.0,-115.0,-6.0,32.0,-30.0
344,-50.0,124.0,-70.0,-48.0,27.0,20.0
345,-50.0,180.0,-80.0,0.0,19.0,20.0
346,-50.0,184.0,-20.0,-24.0,26.0,20.0
347,-50.0,208.0,-40.0,-39.0,24.0,20.0
348,-50.0,190.0,-80.0,-14.0,20.0,70.0
349,-50.0,174.0,-60.0,-48.0,33.5,20.0
350,-50.0,152.0,-60.0,-34.0,31.0,70.0
351,-50.0,84.0,-45.0,-8.0,26.5,20.0
352,-50.0,214.0,-105.0,-20.0,20.0,70.0
353,-50.0,114.0,-55.0,0.0,21.5,20.0
354,-50.0,106.0,-55.0,0.0,17.5,70.0
355,-50.0,118.0,-130.0,-12.0,22.5,-30.0
356,-50.0,60.0,-135.0,-26.0,27.5,-30.0
357,-50.0,212.0,-130.0,-61.0,35.0,-30.0
358,-50.0,196.0,-30.0,-78.0,30.5,20.0
359,-50.0,182.0,-90.0,-11.0,28.0,20.0
360,-50.0,290.0,-115.0,-13.0,26.5,-30.0
361,-50.0,152.0,-45.0,-26.0,33.5,20.0
362,-50.0,90.0,0.0,-31.0,33.5,20.0
363,-50.0,304.0,-35.0,-57.0,24.5,20.0
364,-50.0,138.0,-70.0,-17.0,27.5,20.0
365,-50.0,60.0,-120.0,-12.0,13.0,-30.0
366,-50.0,92.0,-20.0,0.0,10.0,20.0
367,-50.0,278.0,-65.0,-32.0,23.0,70.0
368,-50.0,166.0,-10.0,-9.0,21.5,70.0
369,-50.0,94.0,-20.0,-12.0,27.0,20.0
370,-50.0,78.0,-70.0,-36.0,23.5,20.0
371,-50.0,304.0,-95.0,-11.0,31.0,-30.0
372,-50.0,166.0,-35.0,-5.0,22.0,70.0
373,-50.0,200.0,-115.0,-47.0,27.0,-30.0
374,-50.0,182.0,-60.0,-8.0,29.0,70.0
375,-50.0,32.0,-135.0,-14.0,19.5,20.0
376,-50.0,106.0,-75.0,-2.0,28.5,70.0
377,-50.0,90.0,-30.0,-19.0,31.0,20.0
378,-50.0,184.0,-45.0,-25.0,34.5,20.0
379,-50.0,154.0,-70.0,-51.0,32.0,-30.0
380,-50.0,62.0,-100.0,-28.0,22.5,-30.0
381,-50.0,150.0,-50.0,-40.0,28.0,70.0
382,-50.0,154.0,-10.0,-7.0,34.5,20.0
383,-50.0,200.0,-40.0,-12.0,26.0,70.0
384,-50.0,244.0,-45.0,-48.0,23.0,20.0
385,-50.0,310.0,-20.0,-7.0,25.0,20.0
386,-50.0,268.0,-55.0,-29.0,33.0,20.0
